Tumor	GeneId	Symbol	Normal_transcript	Tumor_transcript	Recurrence	Affects_mutated_feature	PPI	Pannegative
brca	23774	BRD1	uc011arh.1	uc003biu.3	0	0	0	0
brca	53339	BTBD1	uc002bjn.2	uc002bjo.2	0	0	0	0
brca	28969	BZW2	uc003stj.2	uc003stp.2	0	0	0	0
brca	245973	ATP6V1C2	uc002rat.2	uc002ras.2	1	0	0	0
brca	79891	ZNF671	uc002qpz.3	uc010yhf.1	0	0	0	0
brca	4170	MCL1	uc010pch.1	uc001euz.2	0	0	0	0
brca	11180	WDR6	uc003cvj.2	uc011bby.1	1	0	0	0
brca	80148	PQLC1	uc002lnl.2	uc010xfm.1	0	0	0	0
brca	63935	PCIF1	uc002xqs.2	uc002xqu.2	1	0	0	0
brca	7184	HSP90B1	uc001tkb.1	uc010swg.1	1	0	0	0
brca	84364	ARFGAP2	uc001ndt.2	uc010rhc.1	0	0	0	0
